"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"행정구역(시군구)별",2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05
"전국",50948272,50965180,50991003,51003843,51018468,51034494,51047880,51064841,51081507,51098531,51115702,51127984,51141463,51156168,51171176,51185882,51202130,51218424,51233579,51250261,51266779,51284774,51302044,51314683,51327916,51342881,51360454,51378174,51395238,51413925,51431100,51448183,51465228,51482816,51500986,51515399,51529338,51541582,51555409,51569536,51584349,51601265,51619330,51634618,51649552,51664244,51677054,51687682,51696216,51704332,51712221,51714935,51722903,51732586,51736224,51744948,51753820,51762492,51769092,51774649,51778544,51779148,51779892,51784669,51790131,51796179,51801449,51806977,51812153,51817851,51821881,51824477,51826059,51826287,51829538,51833175,51836763,51840339,51842636,51845612,51847538,51849253,51850705,51851427,51849861,51847509,51844627,51843195,51842524,51841371,51839408,51839852,51839953,51841786,51838016,51834302,51829023,51825932,51824142,51705905,51702100,51683025
"세종특별자치시",113117,113911,115269,115955,116345,116842,117012,117369,117939,118273,118745,119309,122153,123802,125944,126857,128200,129669,130708,132016,134631,138136,142686,148151,156125,161716,169762,174920,178656,182028,185212,189478,194173,197964,202214,206044,210884,215418,220108,223461,225488,227972,230327,232117,234510,236134,238533,240560,243048,244939,247600,251178,254112,259157,263056,266075,269102,271410,274092,276879,280100,283198,288079,291182,295041,297604,300332,302703,305648,308068,310403,312103,314126,316814,320326,322693,324417,325777,327643,330298,332098,333757,336356,338647,340575,342328,343788,344792,345216,345373,345341,346217,347232,348014,351007,353430,355831,357871,359569,360462,361396,362036
