지 역,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015년 06월,Unnamed: 5,2015년 07월,Unnamed: 7,2015년 08월,Unnamed: 9,2015년 09월,Unnamed: 11,2015년 10월,Unnamed: 13,2015년 11월,Unnamed: 15,2015년 12월,Unnamed: 17,2016년 01월,Unnamed: 19,2016년 02월,Unnamed: 21,2016년 03월,Unnamed: 23,2016년 04월,Unnamed: 25,2016년 05월,Unnamed: 27,2016년 06월,Unnamed: 29,2016년 07월,Unnamed: 31,2016년 08월,Unnamed: 33,2016년 09월,Unnamed: 35,2016년 10월,Unnamed: 37,2016년 11월,Unnamed: 39,2016년 12월,Unnamed: 41,2017년 01월,Unnamed: 43,2017년 02월,Unnamed: 45,2017년 03월,Unnamed: 47,2017년 04월,Unnamed: 49,2017년 05월,Unnamed: 51,2017년 06월,Unnamed: 53,2017년 07월,Unnamed: 55,2017년 08월,Unnamed: 57,2017년 09월,Unnamed: 59,2017년 10월,Unnamed: 61,2017년 11월,Unnamed: 63,2017년 12월,Unnamed: 65,2018년 01월,Unnamed: 67,2018년 02월,Unnamed: 69,2018년 03월,Unnamed: 71,2018년 04월,Unnamed: 73,2018년 05월,Unnamed: 75,2018년 06월,Unnamed: 77,2018년 07월,Unnamed: 79,2018년 08월,Unnamed: 81,2018년 09월,Unnamed: 83,2018년 10월,Unnamed: 85,2018년 11월,Unnamed: 87,2018년 12월,Unnamed: 89,2019년 01월,Unnamed: 91,2019년 02월,Unnamed: 93,2019년 03월,Unnamed: 95,2019년 04월,Unnamed: 97,2019년 05월,Unnamed: 99,2019년 06월,Unnamed: 101,2019년 07월,Unnamed: 103,2019년 08월,Unnamed: 105,2019년 09월,Unnamed: 107,2019년 10월,Unnamed: 109,2019년 11월,Unnamed: 111,2019년 12월,Unnamed: 113,2020년 01월,Unnamed: 115,2020년 02월,Unnamed: 117,2020년 03월,Unnamed: 119,2020년 04월,Unnamed: 121,2020년 05월,Unnamed: 123,2020년 06월,Unnamed: 125,2020년 07월,Unnamed: 127,2020년 08월,Unnamed: 129,2020년 09월,Unnamed: 131,2020년 10월,Unnamed: 133,2020년 11월,Unnamed: 135,2020년 12월,Unnamed: 137
,,,,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률
,,용인시,,100.971,-,100.85,-0.12,100.784,-0.07,100.675,-0.11,100.539,-0.14,100.447,-0.09,100.359,-0.09,100.287,-0.07,100.312,0.02,100.295,-0.02,100.254,-0.04,100.253,0,100.236,-0.02,100.213,-0.02,100.181,-0.03,100.139,-0.04,100.127,-0.01,100.087,-0.04,100.069,-0.02,100.064,0,100.059,0,100.037,-0.02,100.017,-0.02,99.972,-0.04,99.934,-0.04,99.915,-0.02,99.908,-0.01,99.915,0.01,99.932,0.02,100,0.07,100.024,0.02,100.03,0.01,99.971,-0.06,100.047,0.08,100.119,0.07,100.117,0,100.011,-0.11,99.986,-0.03,99.96,-0.03,99.949,-0.01,99.952,0,99.963,0.01,99.883,-0.08,99.893,0.01,99.827,-0.07,99.724,-0.1,99.316,-0.41,99.034,-0.28,98.871,-0.16,98.574,-0.3,98.569,0,98.387,-0.18,98.18,-0.21,98.086,-0.1,97.974,-0.11,97.71,-0.27,97.471,-0.25,97.346,-0.13,97.178,-0.17,97.104,-0.08,96.981,-0.13,96.901,-0.08,97.174,0.28,97.424,0.26,97.531,0.11,97.7,0.17,97.64,-0.06
,,,처인구,100.365,-,100.227,-0.14,100.166,-0.06,100.104,-0.06,99.913,-0.19,99.633,-0.28,99.55,-0.08,99.538,-0.01,99.572,0.03,99.638,0.07,99.696,0.06,99.799,0.1,99.901,0.1,99.984,0.08,100.002,0.02,99.975,-0.03,100.032,0.06,100.033,0,100.028,0,100.013,-0.01,100.017,0,100.039,0.02,100.071,0.03,100.066,0,100.007,-0.06,99.973,-0.03,99.979,0.01,99.978,0,99.986,0.01,100,0.01,100.032,0.03,99.289,-0.74,98.724,-0.57,98.7,-0.02,98.709,0.01,98.514,-0.2,98.543,0.03,98.433,-0.11,98.502,0.07,97.866,-0.65,97.882,0.02,97.879,0,97.952,0.07,97.964,0.01,97.985,0.02,98.009,0.02,98.079,0.07,98.052,-0.03,98.062,0.01,98.004,-0.06,98.024,0.02,98.057,0.03,98.053,0,98.031,-0.02,98.03,0,98.017,-0.01,98.015,0,98.012,0,97.983,-0.03,97.979,0,97.943,-0.04,97.861,-0.08,97.744,-0.12,98.18,0.45,98.283,0.11,98.629,0.35,98.722,0.1
,,,기흥구,100.932,-,100.814,-0.12,100.743,-0.07,100.666,-0.08,100.644,-0.02,100.618,-0.03,100.578,-0.04,100.519,-0.06,100.586,0.07,100.531,-0.05,100.44,-0.09,100.403,-0.04,100.375,-0.03,100.328,-0.05,100.276,-0.05,100.212,-0.06,100.208,0,100.181,-0.03,100.152,-0.03,100.149,0,100.151,0,100.096,-0.05,100.042,-0.05,99.978,-0.06,99.928,-0.05,99.899,-0.03,99.891,-0.01,99.9,0.01,99.926,0.03,100,0.07,100.11,0.11,100.21,0.1,100.239,0.03,100.322,0.08,100.402,0.08,100.407,0,100.475,0.07,100.568,0.09,100.621,0.05,100.78,0.16,100.753,-0.03,100.804,0.05,100.766,-0.04,100.86,0.09,100.966,0.1,101,0.03,100.654,-0.34,100.288,-0.36,100.107,-0.18,99.466,-0.64,99.448,-0.02,99.039,-0.41,98.519,-0.53,98.381,-0.14,98.152,-0.23,97.901,-0.26,97.589,-0.32,97.499,-0.09,97.118,-0.39,96.983,-0.14,96.73,-0.26,96.635,-0.1,96.76,0.13,96.832,0.07,96.911,0.08,97.272,0.37,97.202,-0.07
,,,수지구,101.171,-,101.052,-0.12,100.988,-0.06,100.836,-0.15,100.598,-0.24,100.489,-0.11,100.35,-0.14,100.251,-0.1,100.23,-0.02,100.23,0,100.213,-0.02,100.221,0.01,100.185,-0.04,100.16,-0.02,100.135,-0.03,100.11,-0.02,100.071,-0.04,100.009,-0.06,99.997,-0.01,99.994,0,99.979,-0.01,99.977,0,99.977,0,99.941,-0.04,99.921,-0.02,99.915,-0.01,99.907,-0.01,99.914,0.01,99.924,0.01,100,0.08,99.937,-0.06,100.052,0.12,100.045,-0.01,100.142,0.1,100.223,0.08,100.268,0.05,99.95,-0.32,99.83,-0.12,99.7,-0.13,99.692,-0.01,99.72,0.03,99.695,-0.02,99.531,-0.17,99.457,-0.07,99.192,-0.27,98.914,-0.28,98.302,-0.62,98.031,-0.28,97.837,-0.2,97.816,-0.02,97.817,0,97.801,-0.02,97.853,0.05,97.784,-0.07,97.759,-0.03,97.388,-0.38,97.134,-0.26,96.928,-0.21,96.927,0,96.891,-0.04,96.871,-0.02,96.809,-0.06,97.383,0.59,97.748,0.37,97.886,0.14,97.788,-0.1,97.681,-0.11
,,수원시,,101.332,-,101.456,0.12,101.533,0.08,101.414,-0.12,101.359,-0.05,101.283,-0.08,101.141,-0.14,101.036,-0.1,100.919,-0.12,100.873,-0.05,100.766,-0.11,100.674,-0.09,100.608,-0.07,100.511,-0.1,100.423,-0.09,100.393,-0.03,100.361,-0.03,100.344,-0.02,100.338,-0.01,100.329,-0.01,100.291,-0.04,100.274,-0.02,100.269,0,100.276,0.01,100.251,-0.02,100.224,-0.03,100.166,-0.06,100.044,-0.12,100.044,0,100,-0.04,100,0,100.04,0.04,100.154,0.11,100.134,-0.02,100.154,0.02,100.114,-0.04,100.154,0.04,100.178,0.02,100.176,0,100.199,0.02,100.202,0,100.237,0.04,100.253,0.02,100.264,0.01,100.289,0.03,100.327,0.04,100.466,0.14,100.358,-0.11,99.891,-0.46,99.565,-0.33,99.161,-0.41,98.932,-0.23,98.875,-0.06,98.759,-0.12,98.653,-0.11,98.577,-0.08,98.305,-0.28,98.165,-0.14,98.086,-0.08,98.044,-0.04,97.926,-0.12,97.887,-0.04,98.058,0.18,98.372,0.32,98.42,0.05,98.472,0.05,98.623,0.15
,,,장안구,101.272,-,101.399,0.13,101.809,0.4,101.823,0.01,101.727,-0.09,101.629,-0.1,101.308,-0.32,101.215,-0.09,101.015,-0.2,101.029,0.01,101.011,-0.02,100.927,-0.08,100.769,-0.16,100.725,-0.04,100.599,-0.12,100.582,-0.02,100.537,-0.04,100.47,-0.07,100.421,-0.05,100.396,-0.02,100.298,-0.1,100.271,-0.03,100.176,-0.09,100.119,-0.06,100.038,-0.08,100.021,-0.02,100.011,-0.01,100.004,-0.01,100.001,0,100,0,100.073,0.07,100.076,0,100.535,0.46,100.6,0.06,100.639,0.04,100.514,-0.12,100.47,-0.04,100.527,0.06,100.472,-0.05,100.534,0.06,100.539,0.01,100.552,0.01,100.427,-0.12,100.426,0,100.451,0.03,100.541,0.09,100.596,0.05,99.941,-0.65,98.255,-1.69,97.003,-1.27,95.386,-1.67,94.706,-0.71,94.652,-0.06,94.468,-0.19,94.483,0.02,94.306,-0.19,93.872,-0.46,93.742,-0.14,93.61,-0.14,93.604,-0.01,93.478,-0.13,93.299,-0.19,93.201,-0.11,93.237,0.04,93.119,-0.13,92.918,-0.22,92.769,-0.16
,,,권선구,101.322,-,101.502,0.18,101.545,0.04,101.426,-0.12,101.364,-0.06,101.299,-0.06,101.253,-0.05,101.244,-0.01,101.171,-0.07,101.157,-0.01,100.842,-0.31,100.813,-0.03,100.856,0.04,100.794,-0.06,100.74,-0.05,100.705,-0.03,100.64,-0.06,100.608,-0.03,100.545,-0.06,100.535,-0.01,100.501,-0.03,100.436,-0.06,100.377,-0.06,100.348,-0.03,100.311,-0.04,100.247,-0.06,100.006,-0.24,100.003,0,100.008,0.01,100,-0.01,99.875,-0.12,99.995,0.12,99.938,-0.06,99.776,-0.16,99.832,0.06,99.77,-0.06,99.856,0.09,99.858,0,99.803,-0.05,99.778,-0.03,99.741,-0.04,99.771,0.03,99.735,-0.04,99.706,-0.03,99.715,0.01,99.717,0,99.812,0.1,99.811,0,99.868,0.06,99.71,-0.16,99.67,-0.04,99.62,-0.05,99.603,-0.02,99.57,-0.03,99.473,-0.1,99.557,0.08,99.46,-0.1,99.307,-0.15,99.291,-0.02,99.262,-0.03,99.193,-0.07,99.383,0.19,100.233,0.86,101.465,1.23,101.956,0.48,102.476,0.51,103.21,0.72
,,,팔달구,99.555,-,99.527,-0.03,99.435,-0.09,99.382,-0.05,99.346,-0.04,99.236,-0.11,99.193,-0.04,99.19,0,99.157,-0.03,99.071,-0.09,99.363,0.3,99.21,-0.15,99.188,-0.02,99.146,-0.04,99.115,-0.03,99.058,-0.06,99.175,0.12,99.203,0.03,99.196,-0.01,99.188,-0.01,99.2,0.01,99.298,0.1,99.571,0.28,99.815,0.25,99.972,0.16,100.052,0.08,100.042,-0.01,100.012,-0.03,100.04,0.03,100,-0.04,99.986,-0.01,99.954,-0.03,100.072,0.12,100.11,0.04,100.118,0.01,100.076,-0.04,100.087,0.01,100.117,0.03,100.207,0.09,100.225,0.02,100.236,0.01,100.241,0,100.285,0.04,100.304,0.02,100.245,-0.06,100.261,0.02,100.349,0.09,100.381,0.03,100.406,0.02,100.452,0.05,100.444,-0.01,100.444,0,100.44,0,100.42,-0.02,100.341,-0.08,100.343,0,100.25,-0.09,100.155,-0.1,100.12,-0.03,100.099,-0.02,100.008,-0.09,99.91,-0.1,99.837,-0.07,99.906,0.07,99.842,-0.06,99.752,-0.09,99.636,-0.12
,,,영통구,102.012,-,102.148,0.13,102.085,-0.06,101.849,-0.23,101.822,-0.03,101.765,-0.06,101.64,-0.12,101.421,-0.22,101.3,-0.12,101.206,-0.09,101.037,-0.17,100.918,-0.12,100.82,-0.1,100.643,-0.17,100.535,-0.11,100.511,-0.02,100.457,-0.05,100.469,0.01,100.535,0.07,100.537,0,100.519,-0.02,100.503,-0.02,100.501,0,100.492,-0.01,100.448,-0.04,100.405,-0.04,100.432,0.03,100.111,-0.32,100.102,-0.01,100,-0.1,100.054,0.05,100.081,0.03,100.099,0.02,100.113,0.01,100.097,-0.02,100.131,0.03,100.199,0.07,100.217,0.02,100.259,0.04,100.295,0.04,100.324,0.03,100.39,0.07,100.529,0.14,100.577,0.05,100.644,0.07,100.686,0.04,100.932,0.24,101.049,0.12,100.803,-0.24,100.838,0.03,100.835,0,100.697,-0.14,100.588,-0.11,100.42,-0.17,100.211,-0.21,100.05,-0.16,99.686,-0.36,99.536,-0.15,99.426,-0.11,99.343,-0.08,99.183,-0.16,99.074,-0.11,98.972,-0.1,98.834,-0.14,98.687,-0.15,98.598,-0.09,98.593,-0.01
,서해안권,,,101.996,-,101.868,-0.13,101.761,-0.1,101.639,-0.12,101.572,-0.07,101.46,-0.11,101.352,-0.11,101.241,-0.11,101.157,-0.08,101.043,-0.11,100.981,-0.06,100.923,-0.06,100.805,-0.12,100.762,-0.04,100.688,-0.07,100.616,-0.07,100.548,-0.07,100.54,-0.01,100.498,-0.04,100.467,-0.03,100.428,-0.04,100.391,-0.04,100.285,-0.11,100.237,-0.05,100.21,-0.03,100.193,-0.02,100.149,-0.04,100.075,-0.07,100.064,-0.01,100,-0.06,100.01,0.01,100.047,0.04,100.138,0.09,100.182,0.04,100.226,0.04,100.249,0.02,100.278,0.03,100.342,0.06,100.4,0.06,100.375,-0.02,100.279,-0.1,100.303,0.02,100.352,0.05,100.379,0.03,100.382,0,100.369,-0.01,100.263,-0.11,99.889,-0.37,99.493,-0.4,99.218,-0.28,99.021,-0.2,98.899,-0.12,98.857,-0.04,98.69,-0.17,98.625,-0.07,98.528,-0.1,98.446,-0.08,98.449,0,98.485,0.04,98.461,-0.02,98.373,-0.09,98.353,-0.02,98.312,-0.04,98.238,-0.07,98.146,-0.09,98.047,-0.1,98.008,-0.04
,,부천시,,101.783,-,101.636,-0.14,101.47,-0.16,101.313,-0.15,101.128,-0.18,100.898,-0.23,100.763,-0.13,100.671,-0.09,100.569,-0.1,100.5,-0.07,100.413,-0.09,100.307,-0.11,100.197,-0.11,100.199,0,100.144,-0.05,100.096,-0.05,100.095,0,100.099,0,100.092,-0.01,100.086,-0.01,100.063,-0.02,100.024,-0.04,100.03,0.01,100.018,-0.01,99.986,-0.03,99.975,-0.01,99.887,-0.09,99.879,-0.01,99.988,0.11,100,0.01,100,0,100.03,0.03,100.098,0.07,100.12,0.02,100.168,0.05,100.168,0,100.144,-0.02,100.154,0.01,100.146,-0.01,100.084,-0.06,100.023,-0.06,100.015,-0.01,100.07,0.05,100.078,0.01,100.105,0.03,100.122,0.02,100.142,0.02,100.118,-0.02,100.117,0,100.123,0.01,100.105,-0.02,100.086,-0.02,100.051,-0.04,100.018,-0.03,99.974,-0.04,99.965,-0.01,99.93,-0.04,99.91,-0.02,99.988,0.08,100.005,0.02,99.872,-0.13,99.782,-0.09,99.606,-0.18,99.473,-0.13,99.377,-0.1,99.271,-0.11,99.145,-0.13
,,안산시,,103.531,-,103.35,-0.18,103.225,-0.12,103.058,-0.16,102.891,-0.16,102.597,-0.29,102.471,-0.12,102.434,-0.04,102.391,-0.04,102.054,-0.33,101.589,-0.46,101.406,-0.18,101.283,-0.12,101.192,-0.09,101,-0.19,100.827,-0.17,100.626,-0.2,100.458,-0.17,100.425,-0.03,100.405,-0.02,100.39,-0.02,100.332,-0.06,100.252,-0.08,100.242,-0.01,100.258,0.02,100.265,0.01,100.236,-0.03,100.171,-0.06,100.086,-0.09,100,-0.09,100.003,0,100.039,0.04,100.084,0.04,100.156,0.07,100.241,0.08,100.461,0.22,100.705,0.24,100.953,0.25,101.368,0.41,101.457,0.09,100.844,-0.6,100.92,0.07,101.008,0.09,100.991,-0.02,101.051,0.06,100.85,-0.2,100.777,-0.07,100.52,-0.26,100.379,-0.14,100.3,-0.08,100.287,-0.01,100.287,0,100.252,-0.04,100.141,-0.11,100.157,0.02,100.102,-0.05,100.072,-0.03,100.096,0.02,100.009,-0.09,99.912,-0.1,99.617,-0.3,99.577,-0.04,99.529,-0.05,99.4,-0.13,99.299,-0.1,99.227,-0.07,99.048,-0.18
,,,상록구,103.819,-,103.612,-0.2,103.518,-0.09,103.346,-0.17,103.287,-0.06,102.751,-0.52,102.62,-0.13,102.559,-0.06,102.527,-0.03,102.303,-0.22,102.149,-0.15,101.648,-0.49,101.411,-0.23,101.211,-0.2,101.142,-0.07,100.998,-0.14,100.854,-0.14,100.692,-0.16,100.614,-0.08,100.563,-0.05,100.577,0.01,100.585,0.01,100.496,-0.09,100.503,0.01,100.527,0.02,100.526,0,100.479,-0.05,100.358,-0.12,100.173,-0.18,100,-0.17,99.999,0,100.055,0.06,100.105,0.05,100.173,0.07,100.246,0.07,100.471,0.22,100.596,0.12,101.033,0.43,101.622,0.58,101.865,0.24,101.973,0.11,102.061,0.09,102.176,0.11,102.304,0.13,102.372,0.07,102.254,-0.12,102.197,-0.06,101.935,-0.26,101.807,-0.13,101.637,-0.17,101.632,-0.01,101.622,-0.01,101.589,-0.03,101.53,-0.06,101.542,0.01,101.568,0.03,101.676,0.11,101.591,-0.08,101.551,-0.04,101.515,-0.04,101.51,0,101.494,-0.02,101.446,-0.05,101.404,-0.04,101.315,-0.09,101.264,-0.05,101.169,-0.09
,,,단원구,103.302,-,103.141,-0.16,102.991,-0.15,102.828,-0.16,102.573,-0.25,102.475,-0.1,102.353,-0.12,102.336,-0.02,102.285,-0.05,101.855,-0.42,101.139,-0.7,101.213,0.07,101.182,-0.03,101.18,0,100.888,-0.29,100.694,-0.19,100.447,-0.24,100.274,-0.17,100.276,0,100.281,0.01,100.243,-0.04,100.134,-0.11,100.06,-0.07,100.037,-0.02,100.047,0.01,100.061,0.01,100.045,-0.02,100.025,-0.02,100.017,-0.01,100,-0.02,100.005,0.01,100.028,0.02,100.068,0.04,100.144,0.08,100.238,0.09,100.453,0.21,100.788,0.33,100.892,0.1,101.176,0.28,101.149,-0.03,99.997,-1.14,100.064,0.07,100.131,0.07,99.999,-0.13,100.053,0.05,99.787,-0.27,99.7,-0.09,99.447,-0.25,99.296,-0.15,99.289,-0.01,99.269,-0.02,99.277,0.01,99.24,-0.04,99.088,-0.15,99.108,0.02,98.993,-0.12,98.86,-0.14,98.966,0.11,98.843,-0.12,98.701,-0.14,98.191,-0.52,98.132,-0.06,98.085,-0.05,97.891,-0.2,97.781,-0.11,97.694,-0.09,97.452,-0.25
,,시흥시,,100.124,-,100.046,-0.08,100.057,0.01,100.13,0.07,100.214,0.08,100.172,-0.04,100.099,-0.07,100.074,-0.03,100.047,-0.03,99.87,-0.18,100.199,0.33,100.279,0.08,100.294,0.01,100.313,0.02,100.366,0.05,100.244,-0.12,100.181,-0.06,100.125,-0.06,100.103,-0.02,100.105,0,100.071,-0.03,100.064,-0.01,100.103,0.04,100.097,-0.01,100.085,-0.01,100.11,0.02,100.071,-0.04,100.051,-0.02,100.013,-0.04,100,-0.01,100.021,0.02,100.064,0.04,100.181,0.12,100.291,0.11,100.361,0.07,100.404,0.04,100.448,0.04,100.48,0.03,100.52,0.04,100.486,-0.03,100.529,0.04,100.544,0.01,100.551,0.01,100.576,0.03,100.567,-0.01,100.481,-0.09,100.515,0.03,100.563,0.05,100.526,-0.04,100.529,0,100.545,0.02,100.549,0,100.485,-0.06,100.467,-0.02,100.45,-0.02,100.428,-0.02,100.372,-0.06,100.366,-0.01,100.326,-0.04,100.293,-0.03,100.294,0,100.313,0.02,100.302,-0.01,100.282,-0.02,100.227,-0.05,100.175,-0.05,100.071,-0.1
,,광명시,,104.165,-,104.093,-0.07,104.074,-0.02,103.9,-0.17,103.803,-0.09,103.607,-0.19,103.448,-0.15,103.06,-0.37,102.845,-0.21,102.876,0.03,102.764,-0.11,102.645,-0.12,102.383,-0.26,102.19,-0.19,102.159,-0.03,102.163,0,102.03,-0.13,101.83,-0.2,101.71,-0.12,101.64,-0.07,101.633,-0.01,101.553,-0.08,101.277,-0.27,101.08,-0.19,100.939,-0.14,100.792,-0.15,100.494,-0.3,100.352,-0.14,100.221,-0.13,100,-0.22,100.003,0,100.014,0.01,100.04,0.03,100.113,0.07,100.167,0.05,100.218,0.05,100.18,-0.04,100.182,0,100.083,-0.1,99.939,-0.14,99.847,-0.09,99.899,0.05,99.98,0.08,100.184,0.2,100.112,-0.07,100.427,0.31,100.242,-0.18,99.947,-0.29,99.933,-0.01,99.9,-0.03,99.846,-0.05,99.83,-0.02,99.744,-0.09,99.665,-0.08,99.603,-0.06,99.62,0.02,99.61,-0.01,99.667,0.06,99.631,-0.04,99.635,0,99.626,-0.01,99.488,-0.14,99.307,-0.18,99.024,-0.28,98.76,-0.27,98.548,-0.21,98.613,0.07
,,화성시,,103.248,-,103.056,-0.19,102.827,-0.22,102.662,-0.16,102.6,-0.06,102.61,0.01,102.46,-0.15,102.306,-0.15,102.162,-0.14,102.013,-0.15,101.997,-0.02,101.929,-0.07,101.649,-0.28,101.563,-0.08,101.341,-0.22,101.264,-0.08,101.007,-0.25,101.139,0.13,101.036,-0.1,100.929,-0.11,100.803,-0.12,100.76,-0.04,100.375,-0.38,100.349,-0.03,100.157,-0.19,100.117,-0.04,100.206,0.09,99.983,-0.22,99.978,0,100,0.02,100.066,0.07,100.079,0.01,100.227,0.15,100.298,0.07,100.348,0.05,100.453,0.1,100.515,0.06,100.599,0.08,100.616,0.02,100.616,0,100.628,0.01,100.648,0.02,100.702,0.05,100.75,0.05,100.732,-0.02,100.68,-0.05,100.463,-0.22,100.311,-0.15,99.598,-0.71,99.563,-0.03,99.487,-0.08,99.415,-0.07,99.347,-0.07,99.196,-0.15,99.099,-0.1,99.021,-0.08,98.943,-0.08,98.771,-0.17,98.704,-0.07,98.707,0,98.631,-0.08,98.488,-0.14,98.412,-0.08,98.272,-0.14,98.18,-0.09,97.988,-0.2,97.84,-0.15
,,오산시,,100.224,-,100.118,-0.11,99.981,-0.14,99.584,-0.4,99.52,-0.06,99.526,0.01,99.546,0.02,99.535,-0.01,99.554,0.02,99.611,0.06,99.591,-0.02,99.597,0.01,99.529,-0.07,99.516,-0.01,99.545,0.03,99.441,-0.1,99.829,0.39,99.887,0.06,99.904,0.02,99.935,0.03,99.967,0.03,99.968,0,99.966,0,100.002,0.04,100.056,0.05,100.055,0,100.05,-0.01,100.038,-0.01,100.043,0.01,100,-0.04,100.077,0.08,100.038,-0.04,100.144,0.11,99.877,-0.27,99.687,-0.19,98.853,-0.84,98.365,-0.49,98.168,-0.2,98.075,-0.09,97.849,-0.23,97.845,0,97.83,-0.01,97.854,0.02,97.73,-0.13,97.747,0.02,97.759,0.01,97.061,-0.71,96.534,-0.54,96.213,-0.33,95.497,-0.74,95.479,-0.02,95.491,0.01,95.529,0.04,95.397,-0.14,95.324,-0.08,94.95,-0.39,94.77,-0.19,94.901,0.14,95.028,0.13,94.969,-0.06,95.005,0.04,94.907,-0.1,94.768,-0.15,94.715,-0.06,94.652,-0.07,94.562,-0.09,94.772,0.22
,,평택시,,100.247,-,100.175,-0.07,100.154,-0.02,100.152,0,100.243,0.09,100.305,0.06,100.249,-0.06,100.14,-0.11,100.1,-0.04,100.076,-0.02,100.06,-0.02,100.1,0.04,100.108,0.01,100.131,0.02,100.12,-0.01,100.141,0.02,100.191,0.05,100.301,0.11,100.287,-0.01,100.277,-0.01,100.236,-0.04,100.216,-0.02,100.217,0,100.064,-0.15,100.247,0.18,100.272,0.03,100.255,-0.02,100.239,-0.02,100.221,-0.02,100,-0.22,99.923,-0.08,100.05,0.13,100.157,0.11,100.222,0.06,100.281,0.06,100.371,0.09,100.476,0.11,100.598,0.12,100.633,0.03,100.696,0.06,100.747,0.05,100.782,0.03,100.806,0.02,100.825,0.02,100.826,0,100.851,0.03,100.884,0.03,99.189,-1.68,97.848,-1.35,96.454,-1.42,95.318,-1.18,94.644,-0.71,94.635,-0.01,94.01,-0.66,93.851,-0.17,93.571,-0.3,93.359,-0.23,93.567,0.22,93.88,0.33,93.83,-0.05,93.762,-0.07,94.093,0.35,94.361,0.28,94.565,0.22,94.533,-0.03,94.577,0.05,94.829,0.27
,동부1권,,,102.158,-,101.984,-0.17,101.854,-0.13,101.716,-0.14,101.429,-0.28,101.245,-0.18,101.065,-0.18,100.968,-0.1,100.879,-0.09,100.83,-0.05,100.764,-0.07,100.671,-0.09,100.676,0.01,100.639,-0.04,100.531,-0.11,100.453,-0.08,100.472,0.02,100.371,-0.1,100.331,-0.04,100.307,-0.02,100.286,-0.02,100.196,-0.09,100.137,-0.06,100.122,-0.02,100.117,-0.01,100.143,0.03,100.087,-0.06,100.058,-0.03,100.067,0.01,100,-0.07,99.962,-0.04,100.021,0.06,100.123,0.1,100.108,-0.02,100.108,0,100.164,0.06,100.212,0.05,100.227,0.01,100.257,0.03,100.251,-0.01,100.236,-0.01,100.267,0.03,100.325,0.06,100.459,0.13,100.463,0,100.49,0.03,100.506,0.02,100.46,-0.05,100.45,-0.01,100.416,-0.03,100.287,-0.13,100.187,-0.1,99.991,-0.2,99.802,-0.19,99.655,-0.15,99.536,-0.12,99.509,-0.03,99.389,-0.12,99.298,-0.09,99.442,0.15,99.611,0.17,99.484,-0.13,99.467,-0.02,99.685,0.22,99.85,0.17,99.897,0.05,100.443,0.55
,,남양주시,,102.203,-,102.107,-0.09,102.047,-0.06,101.955,-0.09,101.744,-0.21,101.622,-0.12,101.548,-0.07,101.402,-0.14,101.312,-0.09,101.27,-0.04,101.222,-0.05,101.097,-0.12,101.041,-0.06,100.968,-0.07,100.79,-0.18,100.725,-0.06,100.718,-0.01,100.565,-0.15,100.511,-0.05,100.479,-0.03,100.466,-0.01,100.367,-0.1,100.315,-0.05,100.276,-0.04,100.278,0,100.233,-0.04,100.145,-0.09,100.073,-0.07,100.046,-0.03,100,-0.05,100.03,0.03,100.088,0.06,100.16,0.07,100.118,-0.04,100.13,0.01,100.145,0.01,100.132,-0.01,100.111,-0.02,100.06,-0.05,100.014,-0.05,99.989,-0.02,99.945,-0.04,99.927,-0.02,99.931,0,99.9,-0.03,99.876,-0.02,99.91,0.03,99.891,-0.02,99.893,0,99.842,-0.05,99.799,-0.04,99.791,-0.01,99.749,-0.04,99.679,-0.07,99.619,-0.06,99.523,-0.1,99.437,-0.09,99.358,-0.08,99.251,-0.11,99.231,-0.02,99.218,-0.01,99.247,0.03,99.13,-0.12,99.052,-0.08,99.047,-0.01,98.959,-0.09,99.613,0.66
