지 역,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015년 01월,Unnamed: 5,2015년 02월,Unnamed: 7,2015년 03월,Unnamed: 9,2015년 04월,Unnamed: 11,2015년 05월,Unnamed: 13,2015년 06월,Unnamed: 15,2015년 07월,Unnamed: 17,2015년 08월,Unnamed: 19,2015년 09월,Unnamed: 21,2015년 10월,Unnamed: 23,2015년 11월,Unnamed: 25,2015년 12월,Unnamed: 27,2016년 01월,Unnamed: 29,2016년 02월,Unnamed: 31,2016년 03월,Unnamed: 33,2016년 04월,Unnamed: 35,2016년 05월,Unnamed: 37,2016년 06월,Unnamed: 39,2016년 07월,Unnamed: 41,2016년 08월,Unnamed: 43,2016년 09월,Unnamed: 45,2016년 10월,Unnamed: 47,2016년 11월,Unnamed: 49,2016년 12월,Unnamed: 51,2017년 01월,Unnamed: 53,2017년 02월,Unnamed: 55,2017년 03월,Unnamed: 57,2017년 04월,Unnamed: 59,2017년 05월,Unnamed: 61,2017년 06월,Unnamed: 63,2017년 07월,Unnamed: 65,2017년 08월,Unnamed: 67,2017년 09월,Unnamed: 69,2017년 10월,Unnamed: 71,2017년 11월,Unnamed: 73,2017년 12월,Unnamed: 75,2018년 01월,Unnamed: 77,2018년 02월,Unnamed: 79,2018년 03월,Unnamed: 81,2018년 04월,Unnamed: 83,2018년 05월,Unnamed: 85,2018년 06월,Unnamed: 87,2018년 07월,Unnamed: 89,2018년 08월,Unnamed: 91,2018년 09월,Unnamed: 93,2018년 10월,Unnamed: 95,2018년 11월,Unnamed: 97,2018년 12월,Unnamed: 99,2019년 01월,Unnamed: 101,2019년 02월,Unnamed: 103,2019년 03월,Unnamed: 105,2019년 04월,Unnamed: 107,2019년 05월,Unnamed: 109,2019년 06월,Unnamed: 111,2019년 07월,Unnamed: 113,2019년 08월,Unnamed: 115,2019년 09월,Unnamed: 117,2019년 10월,Unnamed: 119,2019년 11월,Unnamed: 121,2019년 12월,Unnamed: 123,2020년 01월,Unnamed: 125,2020년 02월,Unnamed: 127,2020년 03월,Unnamed: 129,2020년 04월,Unnamed: 131,2020년 05월,Unnamed: 133,2020년 06월,Unnamed: 135,2020년 07월,Unnamed: 137,2020년 08월,Unnamed: 139,2020년 09월,Unnamed: 141,2020년 10월,Unnamed: 143,2020년 11월,Unnamed: 145,2020년 12월,Unnamed: 147
,,,,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률
,,,수지구,93.578,0.57,94.194,0.66,94.868,0.72,95.61,0.78,96.048,0.46,96.498,0.47,96.861,0.38,97.148,0.3,97.6,0.47,98.217,0.63,98.694,0.48,98.993,0.3,99.212,0.22,99.26,0.05,99.26,0,99.301,0.04,99.321,0.02,99.403,0.08,99.462,0.06,99.519,0.06,99.575,0.06,99.682,0.11,99.829,0.15,99.862,0.03,99.874,0.01,99.918,0.04,99.983,0.06,100.098,0.12,100.123,0.02,100.174,0.05,100.194,0.02,100.144,-0.05,100.1,-0.04,100.078,-0.02,100,-0.08,99.936,-0.06,99.753,-0.18,99.749,0,99.546,-0.2,99.153,-0.39,98.854,-0.3,98.163,-0.7,97.994,-0.17,97.995,0,98.345,0.36,98.433,0.09,98.354,-0.08,97.921,-0.44,97.573,-0.36,97.201,-0.38,96.554,-0.67,95.353,-1.24,94.443,-0.95,93.716,-0.77,92.704,-1.08,92.671,-0.04,92.807,0.15,92.974,0.18,93.938,1.04,95.332,1.48,97.808,2.6,100.032,2.27,101.795,1.76,101.837,0.04,102.195,0.35,103.457,1.23,104.332,0.85,106.171,1.76,109.173,2.83,110.276,1.01,111.923,1.49,113.265,1.2
,,수원시,,90.676,0.77,91.404,0.8,91.954,0.6,92.64,0.75,93.295,0.71,94.075,0.84,94.448,0.4,94.843,0.42,95.338,0.52,95.775,0.46,96.242,0.49,96.552,0.32,96.713,0.17,96.958,0.25,97.098,0.14,97.318,0.23,97.537,0.23,97.713,0.18,97.942,0.23,98.137,0.2,98.281,0.15,98.471,0.19,98.758,0.29,98.928,0.17,99.008,0.08,99.129,0.12,99.279,0.15,99.485,0.21,99.687,0.2,99.853,0.17,100.03,0.18,100.059,0.03,100.014,-0.04,99.997,-0.02,100,0,99.733,-0.27,99.318,-0.42,98.881,-0.44,98.723,-0.16,98.65,-0.07,98.493,-0.16,98.315,-0.18,98.225,-0.09,97.966,-0.26,97.801,-0.17,97.732,-0.07,97.482,-0.26,97.048,-0.45,96.886,-0.17,96.587,-0.31,96.217,-0.38,95.025,-1.24,94.382,-0.68,93.928,-0.48,93.557,-0.4,93.51,-0.05,93.545,0.04,94.025,0.51,94.654,0.67,95.432,0.82,96.374,0.99,98.131,1.82,99.359,1.25,100.102,0.75,100.653,0.55,101.887,1.23,102.998,1.09,104.37,1.33,105.909,1.47,107.439,1.44,108.637,1.12,110.111,1.36
,,,장안구,88.851,0.64,89.543,0.78,90.453,1.02,91.672,1.35,92.363,0.75,93.227,0.94,93.854,0.67,94.204,0.37,94.71,0.54,95.074,0.38,95.74,0.7,96.205,0.49,96.445,0.25,96.745,0.31,96.911,0.17,96.987,0.08,97.328,0.35,97.516,0.19,97.726,0.22,97.958,0.24,98.05,0.09,98.235,0.19,98.61,0.38,98.804,0.2,98.845,0.04,99.005,0.16,99.209,0.21,99.36,0.15,99.597,0.24,99.744,0.15,99.862,0.12,99.927,0.07,99.969,0.04,99.989,0.02,100,0.01,99.814,-0.19,99.637,-0.18,99.137,-0.5,98.905,-0.23,98.856,-0.05,98.733,-0.13,98.58,-0.15,98.536,-0.04,98.512,-0.02,98.326,-0.19,98.3,-0.03,98.181,-0.12,98.18,0,97.926,-0.26,97.765,-0.16,97.338,-0.44,96.493,-0.87,96.008,-0.5,95.561,-0.47,95.161,-0.42,94.96,-0.21,95.018,0.06,95.42,0.42,95.539,0.13,95.552,0.01,96.655,1.15,97.237,0.6,97.92,0.7,98.806,0.9,99.017,0.21,99.779,0.77,100.588,0.81,100.95,0.36,101.473,0.52,102.253,0.77,103.367,1.09,104.316,0.92
,,,권선구,90.557,0.75,91.229,0.74,91.858,0.69,92.536,0.74,92.893,0.39,93.546,0.7,93.872,0.35,94.546,0.72,95.259,0.75,95.992,0.77,96.598,0.63,96.843,0.25,96.884,0.04,97.078,0.2,97.16,0.08,97.421,0.27,97.531,0.11,97.648,0.12,97.861,0.22,98.037,0.18,98.222,0.19,98.387,0.17,98.703,0.32,98.88,0.18,98.935,0.06,99.076,0.14,99.299,0.22,99.647,0.35,99.865,0.22,100.061,0.2,100.267,0.21,100.239,-0.03,100.127,-0.11,100.106,-0.02,100,-0.11,99.74,-0.26,98.951,-0.79,98.304,-0.65,97.816,-0.5,97.543,-0.28,97.513,-0.03,97.51,0,97.503,-0.01,97.442,-0.06,97.589,0.15,97.685,0.1,97.718,0.03,98.008,0.3,98.33,0.33,98.261,-0.07,98.001,-0.27,97.432,-0.58,96.987,-0.46,96.584,-0.41,96.271,-0.32,96.259,-0.01,96.305,0.05,96.377,0.07,96.653,0.29,97.011,0.37,97.482,0.49,98.466,1.01,99.891,1.45,100.045,0.15,100.608,0.56,101.764,1.15,103.101,1.31,105.534,2.36,108.186,2.51,110.507,2.15,111.846,1.21,113.685,1.64
,,,팔달구,89.316,0.78,90.463,1.28,90.901,0.49,92.148,1.37,93.225,1.17,94.425,1.29,94.691,0.28,94.977,0.3,95.328,0.37,95.573,0.26,95.79,0.23,96.09,0.31,96.262,0.18,96.509,0.26,96.607,0.1,96.997,0.4,97.199,0.21,97.334,0.14,97.506,0.18,97.689,0.19,97.772,0.09,97.947,0.18,98.238,0.3,98.384,0.15,98.437,0.05,98.561,0.13,98.699,0.14,98.968,0.27,99.236,0.27,99.38,0.14,99.554,0.18,99.651,0.1,99.768,0.12,99.887,0.12,100,0.11,100.164,0.16,100.403,0.24,99.638,-0.76,99.328,-0.31,99.239,-0.09,99.417,0.18,99.295,-0.12,99.195,-0.1,98.516,-0.68,98.396,-0.12,98.361,-0.04,98.324,-0.04,98.067,-0.26,97.881,-0.19,97.766,-0.12,97.573,-0.2,96.888,-0.7,96.66,-0.24,96.422,-0.25,95.994,-0.44,96.061,0.07,96.061,0,96.124,0.07,96.294,0.18,97.37,1.12,97.643,0.28,98.526,0.9,99.253,0.74,99.909,0.66,100.3,0.39,101.293,0.99,102.056,0.75,102.751,0.68,103.822,1.04,104.755,0.9,105.614,0.82,106.878,1.2
,,,영통구,92.551,0.87,93.189,0.69,93.466,0.3,93.573,0.11,94.251,0.73,94.911,0.7,95.179,0.28,95.444,0.28,95.829,0.4,96.174,0.36,96.495,0.33,96.748,0.26,96.936,0.19,97.18,0.25,97.359,0.18,97.586,0.23,97.807,0.23,98.03,0.23,98.303,0.28,98.49,0.19,98.66,0.17,98.879,0.22,99.084,0.21,99.24,0.16,99.375,0.14,99.455,0.08,99.518,0.06,99.632,0.11,99.775,0.14,99.942,0.17,100.135,0.19,100.16,0.02,100.049,-0.11,99.962,-0.09,100,0.04,99.521,-0.48,99.011,-0.51,98.894,-0.12,99.095,0.2,99.168,0.07,98.77,-0.4,98.42,-0.35,98.238,-0.19,97.818,-0.43,97.411,-0.42,97.174,-0.24,96.548,-0.64,95.224,-1.37,94.755,-0.49,94.131,-0.66,93.653,-0.51,91.608,-2.18,90.584,-1.12,90.019,-0.62,89.642,-0.42,89.626,-0.02,89.65,0.03,90.619,1.08,91.983,1.51,93.471,1.62,94.892,1.52,98.284,3.57,99.871,1.61,101.024,1.15,101.838,0.81,103.525,1.66,104.771,1.2,106.188,1.35,107.678,1.4,109.294,1.5,110.553,1.15,112.167,1.46
,서해안권,,,88.147,0.61,88.797,0.74,89.546,0.84,90.658,1.24,91.729,1.18,92.621,0.97,93.187,0.61,93.703,0.55,94.313,0.65,95.007,0.74,95.581,0.6,95.941,0.38,96.228,0.3,96.494,0.28,96.712,0.23,97.059,0.36,97.347,0.3,97.778,0.44,98.059,0.29,98.264,0.21,98.408,0.15,98.613,0.21,98.821,0.21,98.916,0.1,98.982,0.07,99.058,0.08,99.147,0.09,99.323,0.18,99.51,0.19,99.598,0.09,99.689,0.09,99.855,0.17,99.928,0.07,100.004,0.08,100,0,99.719,-0.28,99.076,-0.64,98.033,-1.05,97.339,-0.71,96.751,-0.6,95.973,-0.8,95.338,-0.66,94.565,-0.81,94.031,-0.56,93.96,-0.08,93.942,-0.02,93.738,-0.22,93.31,-0.46,92.909,-0.43,92.583,-0.35,92.127,-0.49,91.761,-0.4,91.651,-0.12,91.442,-0.23,91.132,-0.34,91.093,-0.04,91.221,0.14,91.633,0.45,92.054,0.46,92.401,0.38,92.761,0.39,93.161,0.43,93.566,0.43,93.784,0.23,94.005,0.24,94.672,0.71,95.312,0.68,96.262,1,97.418,1.2,98.44,1.05,99.527,1.1,100.624,1.1
,,부천시,,84.44,0.42,85.115,0.8,85.894,0.91,86.918,1.19,87.727,0.93,88.672,1.08,89.369,0.79,90.166,0.89,91.133,1.07,91.997,0.95,92.889,0.97,93.638,0.81,94.182,0.58,94.697,0.55,94.999,0.32,95.48,0.51,96.062,0.61,96.68,0.64,97.187,0.52,97.507,0.33,97.698,0.2,97.829,0.13,97.974,0.15,98.018,0.04,98.016,0,98.068,0.05,98.194,0.13,98.287,0.09,98.436,0.15,98.603,0.17,98.82,0.22,99.346,0.53,99.647,0.3,99.806,0.16,100,0.19,99.992,-0.01,99.515,-0.48,98.975,-0.54,98.811,-0.17,98.772,-0.04,98.649,-0.12,98.822,0.18,98.762,-0.06,98.908,0.15,99.419,0.52,99.874,0.46,99.888,0.01,99.496,-0.39,99.424,-0.07,99.227,-0.2,99.013,-0.22,98.768,-0.25,98.557,-0.21,98.44,-0.12,98.46,0.02,98.62,0.16,98.919,0.3,99.15,0.23,99.379,0.23,99.691,0.31,99.695,0,99.826,0.13,99.86,0.03,99.526,-0.33,99.399,-0.13,100.266,0.87,100.743,0.48,101.699,0.95,102.598,0.88,103.269,0.65,104.045,0.75,105.049,0.96
,,안산시,,84.75,1.31,86.021,1.5,87.689,1.94,89.95,2.58,91.488,1.71,92.488,1.09,93.454,1.04,94.055,0.64,94.908,0.91,95.997,1.15,96.848,0.89,97.093,0.25,97.234,0.15,97.309,0.08,97.535,0.23,97.749,0.22,97.632,-0.12,98.162,0.54,98.387,0.23,98.586,0.2,98.716,0.13,98.935,0.22,99.078,0.14,99.149,0.07,99.149,0,99.137,-0.01,99.163,0.03,99.226,0.06,99.28,0.05,99.364,0.09,99.422,0.06,99.661,0.24,99.864,0.2,99.942,0.08,100,0.06,99.927,-0.07,99.55,-0.38,99.182,-0.37,98.552,-0.64,97.732,-0.83,96.021,-1.75,94.159,-1.94,91.369,-2.96,88.188,-3.48,87.091,-1.24,86.604,-0.56,86.263,-0.39,85.71,-0.64,84.861,-0.99,84.452,-0.48,84.538,0.1,84.844,0.36,86.174,1.57,86.771,0.69,86.939,0.19,87.03,0.1,87.027,0,87.177,0.17,87.467,0.33,87.625,0.18,87.663,0.04,87.329,-0.38,86.362,-1.11,85.981,-0.44,86.387,0.47,87.568,1.37,87.897,0.38,88.32,0.48,89.622,1.47,90.58,1.07,91.708,1.24,93.321,1.76
,,,상록구,83.819,1.71,85.593,2.12,87.719,2.48,90.292,2.93,91.851,1.73,92.78,1.01,93.612,0.9,94.091,0.51,94.995,0.96,95.964,1.02,96.994,1.07,97.231,0.24,97.39,0.16,97.472,0.08,97.822,0.36,98.089,0.27,97.795,-0.3,98.383,0.6,98.66,0.28,98.774,0.12,98.889,0.12,99.109,0.22,99.249,0.14,99.31,0.06,99.314,0,99.314,0,99.338,0.02,99.364,0.03,99.361,0,99.414,0.05,99.444,0.03,99.676,0.23,99.948,0.27,100.076,0.13,100,-0.08,99.903,-0.1,99.423,-0.48,99.021,-0.41,98.524,-0.5,97.906,-0.63,96.36,-1.58,95.236,-1.17,92.333,-3.05,88.919,-3.7,87.69,-1.38,87.137,-0.63,86.748,-0.45,86.205,-0.63,85.253,-1.1,84.916,-0.39,84.82,-0.11,85.08,0.31,86.081,1.18,86.447,0.42,86.526,0.09,86.563,0.04,86.605,0.05,86.735,0.15,86.914,0.21,87.007,0.11,86.696,-0.36,86.234,-0.53,85.2,-1.2,85.354,0.18,85.689,0.39,86.451,0.89,86.735,0.33,87.175,0.51,88.248,1.23,89.144,1.02,90.171,1.15,91.491,1.46
,,,단원구,85.522,0.99,86.376,1,87.669,1.5,89.677,2.29,91.198,1.7,92.256,1.16,93.33,1.16,94.03,0.75,94.842,0.86,96.029,1.25,96.735,0.74,96.985,0.26,97.113,0.13,97.182,0.07,97.308,0.13,97.478,0.18,97.504,0.03,97.986,0.5,98.169,0.19,98.439,0.27,98.579,0.14,98.799,0.22,98.944,0.15,99.021,0.08,99.018,0,98.997,-0.02,99.025,0.03,99.118,0.09,99.216,0.1,99.325,0.11,99.404,0.08,99.65,0.25,99.797,0.15,99.836,0.04,100,0.16,99.944,-0.06,99.646,-0.3,99.305,-0.34,98.574,-0.74,97.601,-0.99,95.765,-1.88,93.35,-2.52,90.646,-2.9,87.638,-3.32,86.641,-1.14,86.201,-0.51,85.897,-0.35,85.337,-0.65,84.57,-0.9,84.104,-0.55,84.337,0.28,84.68,0.41,86.276,1.89,87.063,0.91,87.303,0.28,87.439,0.16,87.399,-0.05,87.567,0.19,87.947,0.43,88.159,0.24,88.468,0.35,88.234,-0.26,87.32,-1.04,86.522,-0.91,86.983,0.53,88.492,1.73,88.856,0.41,89.266,0.46,90.749,1.66,91.756,1.11,92.963,1.32,94.81,1.99
,,시흥시,,85.694,0.57,86.331,0.74,87.425,1.27,89.632,2.52,91.36,1.93,92.573,1.33,93.406,0.9,94.013,0.65,94.677,0.71,95.703,1.08,96.192,0.51,96.349,0.16,96.511,0.17,96.564,0.06,96.877,0.32,97.491,0.63,97.892,0.41,98.514,0.63,98.742,0.23,98.87,0.13,98.949,0.08,99.1,0.15,99.211,0.11,99.237,0.03,99.239,0,99.244,0,99.28,0.04,99.358,0.08,99.483,0.13,99.598,0.12,99.615,0.02,99.857,0.24,99.937,0.08,100.038,0.1,100,-0.04,99.774,-0.23,99.305,-0.47,97.397,-1.92,96.209,-1.22,95.449,-0.79,94.753,-0.73,94.499,-0.27,94.224,-0.29,93.961,-0.28,93.907,-0.06,93.944,0.04,93.773,-0.18,93.494,-0.3,93.298,-0.21,93.099,-0.21,92.866,-0.25,91.979,-0.95,91.619,-0.39,91.315,-0.33,90.93,-0.42,90.651,-0.31,90.672,0.02,91.062,0.43,91.175,0.12,91.254,0.09,91.479,0.25,92.051,0.63,92.308,0.28,92.657,0.38,92.945,0.31,93.126,0.19,92.971,-0.17,93.116,0.16,93.457,0.37,93.875,0.45,94.329,0.48,95.27,1
,,광명시,,83.383,0.11,83.87,0.58,84.442,0.68,85.692,1.48,87.62,2.25,88.998,1.57,89.427,0.48,89.989,0.63,90.548,0.62,90.864,0.35,91.487,0.69,91.929,0.48,92.557,0.68,92.987,0.46,93.072,0.09,93.392,0.34,93.841,0.48,94.229,0.41,94.478,0.27,94.797,0.34,95.026,0.24,95.368,0.36,95.937,0.6,96.197,0.27,96.476,0.29,96.772,0.31,97.073,0.31,97.537,0.48,98.168,0.65,98.65,0.49,99.015,0.37,99.36,0.35,99.502,0.14,99.749,0.25,100,0.25,99.976,-0.02,99.771,-0.21,99.363,-0.41,98.696,-0.67,98.401,-0.3,97.91,-0.5,97.475,-0.44,97.452,-0.02,98.011,0.57,99.219,1.23,99.863,0.65,99.631,-0.23,98.799,-0.84,97.33,-1.49,96.188,-1.17,94.46,-1.8,95.824,1.44,97.683,1.94,98.031,0.36,98.346,0.32,98.735,0.4,98.885,0.15,99.44,0.56,100.068,0.63,100.457,0.39,101.145,0.68,101.224,0.08,101.603,0.38,101.94,0.33,102.206,0.26,102.484,0.27,103.511,1,105.1,1.53,107.52,2.3,109.646,1.98,111.5,1.69,113.246,1.57
,,화성시,,96.428,0.44,96.741,0.33,96.643,-0.1,96.169,-0.49,96.609,0.46,96.861,0.26,96.956,0.1,96.998,0.04,97.149,0.16,97.461,0.32,97.599,0.14,97.799,0.21,97.888,0.09,98.106,0.22,98.281,0.18,98.41,0.13,98.536,0.13,98.68,0.15,98.892,0.22,99.029,0.14,99.142,0.11,99.404,0.26,99.662,0.26,99.853,0.19,100.073,0.22,100.268,0.19,100.366,0.1,100.706,0.34,100.902,0.2,100.764,-0.14,100.734,-0.03,100.432,-0.3,100.195,-0.24,100.168,-0.03,100,-0.17,99.584,-0.42,99.158,-0.43,97.907,-1.26,97.42,-0.5,97.033,-0.4,96.533,-0.52,96.072,-0.48,95.493,-0.6,95.403,-0.09,95.323,-0.08,95.221,-0.11,94.976,-0.26,94.531,-0.47,94.149,-0.4,93.748,-0.43,92.843,-0.97,91.534,-1.41,90.504,-1.13,89.79,-0.79,89.22,-0.63,89.267,0.05,89.872,0.68,90.919,1.16,92.162,1.37,93.163,1.09,93.911,0.8,94.734,0.88,96.043,1.38,96.535,0.51,96.58,0.05,97.289,0.73,98.378,1.12,99.829,1.48,101.387,1.56,103.161,1.75,104.853,1.64,105.944,1.04
,,오산시,,93.692,0.86,94.542,0.91,95.435,0.94,96.237,0.84,96.942,0.73,97.433,0.51,97.543,0.11,97.869,0.33,98.183,0.32,98.599,0.42,98.813,0.22,98.907,0.09,98.941,0.03,99.036,0.1,99.083,0.05,99.197,0.12,99.343,0.15,99.438,0.1,99.469,0.03,99.598,0.13,99.708,0.11,99.83,0.12,99.977,0.15,100.006,0.03,100.051,0.05,100.078,0.03,100.102,0.02,100.115,0.01,100.147,0.03,100.203,0.06,100.217,0.01,100.237,0.02,100.235,0,100.177,-0.06,100,-0.18,99.301,-0.7,97.686,-1.63,95.789,-1.94,94.287,-1.57,92.407,-1.99,91.142,-1.37,89.887,-1.38,89.729,-0.18,89.821,0.1,90.114,0.33,90.091,-0.03,90.226,0.15,90.029,-0.22,89.997,-0.04,89.874,-0.14,89.751,-0.14,89.435,-0.35,88.806,-0.7,88.72,-0.1,88.381,-0.38,88.632,0.28,88.587,-0.05,88.759,0.19,89.341,0.66,89.512,0.19,89.652,0.16,90.149,0.56,90.884,0.82,91.379,0.54,91.797,0.46,92.218,0.46,93.254,1.12,94.49,1.33,95.721,1.3,96.617,0.94,97.848,1.27,98.908,1.08
,,평택시,,92.297,0.57,92.537,0.26,92.721,0.2,93.21,0.53,93.634,0.45,94.494,0.92,94.971,0.5,95.436,0.49,95.838,0.42,96.336,0.52,96.807,0.49,97.122,0.32,97.367,0.25,97.679,0.32,97.89,0.22,98.283,0.4,98.57,0.29,98.932,0.37,99.194,0.26,99.33,0.14,99.476,0.15,99.695,0.22,99.86,0.17,99.908,0.05,99.855,-0.05,99.837,-0.02,99.855,0.02,100.027,0.17,100.215,0.19,100.192,-0.02,100.201,0.01,100.23,0.03,100.214,-0.02,100.219,0,100,-0.22,99.249,-0.75,97.794,-1.47,96.427,-1.4,95.481,-0.98,94.659,-0.86,93.504,-1.22,92.555,-1.01,91.391,-1.26,90.914,-0.52,90.2,-0.79,89.714,-0.54,89.268,-0.5,88.952,-0.35,88.787,-0.19,88.748,-0.04,88.487,-0.29,88.113,-0.42,87.422,-0.78,86.802,-0.71,85.759,-1.2,85.111,-0.76,84.648,-0.54,84.687,0.05,84.454,-0.28,84.439,-0.02,84.926,0.58,85.553,0.74,86.199,0.75,86.842,0.75,87.388,0.63,88.078,0.79,88.907,0.94,89.897,1.11,90.76,0.96,91.24,0.53,91.957,0.79,92.58,0.68
,동부1권,,,87.354,0.26,87.985,0.72,88.794,0.92,90.122,1.5,91.203,1.2,92.202,1.09,92.87,0.73,93.446,0.62,94.244,0.85,95.274,1.09,96.085,0.85,96.737,0.68,96.953,0.22,97.143,0.2,97.309,0.17,97.515,0.21,97.649,0.14,97.735,0.09,97.841,0.11,97.957,0.12,98.033,0.08,98.216,0.19,98.479,0.27,98.522,0.04,98.53,0.01,98.567,0.04,98.678,0.11,98.831,0.15,99.013,0.18,99.159,0.15,99.311,0.15,99.551,0.24,99.697,0.15,99.87,0.17,100,0.13,99.833,-0.17,99.47,-0.36,98.997,-0.48,98.835,-0.16,98.402,-0.44,97.755,-0.66,97.238,-0.53,96.966,-0.28,96.675,-0.3,96.521,-0.16,96.5,-0.02,96.264,-0.24,95.996,-0.28,95.446,-0.57,95.352,-0.1,95.135,-0.23,94.961,-0.18,95.018,0.06,95.032,0.02,94.985,-0.05,95.091,0.11,95.288,0.21,95.651,0.38,96.099,0.47,96.503,0.42,96.754,0.26,96.948,0.2,97.325,0.39,97.855,0.54,98.364,0.52,99.472,1.13,100.819,1.35,102.58,1.75,104.168,1.55,105.189,0.98,106.583,1.33,108.541,1.84
,,남양주시,,87.218,0.28,87.906,0.79,88.704,0.91,89.882,1.33,90.87,1.1,91.901,1.13,92.505,0.66,93.029,0.57,93.803,0.83,94.916,1.19,95.759,0.89,96.471,0.74,96.74,0.28,96.895,0.16,97.098,0.21,97.33,0.24,97.506,0.18,97.64,0.14,97.839,0.2,98.044,0.21,98.117,0.07,98.386,0.27,98.732,0.35,98.803,0.07,98.82,0.02,98.896,0.08,99.019,0.12,99.123,0.11,99.27,0.15,99.336,0.07,99.44,0.1,99.557,0.12,99.719,0.16,99.826,0.11,100,0.17,99.784,-0.22,99.452,-0.33,99.116,-0.34,98.975,-0.14,98.681,-0.3,98.354,-0.33,98.051,-0.31,97.884,-0.17,97.746,-0.14,97.609,-0.14,97.522,-0.09,97.522,0,97.481,-0.04,97.454,-0.03,97.401,-0.06,97.26,-0.14,97.055,-0.21,97.033,-0.02,96.932,-0.1,96.772,-0.16,96.587,-0.19,96.481,-0.11,96.47,-0.01,96.581,0.11,96.628,0.05,96.803,0.18,96.912,0.11,96.976,0.07,97.424,0.46,97.733,0.32,98.176,0.45,98.87,0.71,100.563,1.71,102.118,1.55,103.22,1.08,104.926,1.65,106.877,1.86
,,구리시,,88.307,0.24,88.806,0.57,89.553,0.84,90.751,1.34,91.794,1.15,92.809,1.11,93.549,0.8,94.152,0.64,95.392,1.32,96.555,1.22,97.457,0.93,98.301,0.87,98.553,0.26,98.727,0.18,98.841,0.11,98.998,0.16,99.154,0.16,99.176,0.02,99.23,0.05,99.357,0.13,99.412,0.05,99.513,0.1,99.678,0.17,99.612,-0.07,99.567,-0.05,99.519,-0.05,99.506,-0.01,99.512,0.01,99.558,0.05,99.576,0.02,99.613,0.04,99.702,0.09,99.815,0.11,99.889,0.07,100,0.11,99.99,-0.01,99.783,-0.21,99.279,-0.51,98.995,-0.29,98.103,-0.9,96.939,-1.19,96.215,-0.75,95.627,-0.61,94.935,-0.72,94.675,-0.27,95.142,0.49,95.003,-0.15,95.104,0.11,94.9,-0.21,94.667,-0.24,94.476,-0.2,93.768,-0.75,93.567,-0.21,93.745,0.19,93.65,-0.1,93.498,-0.16,93.194,-0.33,92.806,-0.42,92.847,0.04,93.212,0.39,93.523,0.33,93.898,0.4,95.087,1.27,96.467,1.45,96.964,0.52,98.008,1.08,98.857,0.87,100.825,1.99,102.677,1.84,103.634,0.93,104.703,1.03,106.19,1.42
,,하남시,,85.308,0.3,85.893,0.69,87.109,1.42,90.321,3.69,92.632,2.56,93.938,1.41,94.845,0.96,95.818,1.03,96.455,0.66,97.472,1.05,98.109,0.65,98.479,0.38,98.455,-0.02,98.636,0.18,98.698,0.06,98.696,0,98.507,-0.19,98.151,-0.36,97.98,-0.18,97.596,-0.39,97.744,0.15,97.522,-0.23,97.501,-0.02,97.499,0,97.492,-0.01,97.449,-0.04,97.42,-0.03,97.346,-0.08,97.523,0.18,97.995,0.48,98.11,0.12,99.113,1.02,99.207,0.09,99.642,0.44,100,0.36,100.04,0.04,99.451,-0.59,98.537,-0.92,98.503,-0.03,98.08,-0.43,97.17,-0.93,96.401,-0.79,95.904,-0.52,95.45,-0.47,95.279,-0.18,95.074,-0.22,93.805,-1.33,92.231,-1.68,89.594,-2.86,89.432,-0.18,88.896,-0.6,89.141,0.28,89.678,0.6,89.902,0.25,90.217,0.35,91.524,1.45,93.019,1.63,95.274,2.42,97.451,2.29,99.307,1.9,99.977,0.67,100.403,0.43,101.22,0.81,101.572,0.35,102.767,1.18,105.5,2.66,109.424,3.72,112.485,2.8,115.022,2.26,116.576,1.35,117.922,1.15,120.76,2.41
